postcode,year,scenario,state,ev_count,total_upstream_gb,hour_00_mbps,hour_01_mbps,hour_02_mbps,hour_03_mbps,hour_04_mbps,hour_05_mbps,hour_06_mbps,hour_07_mbps,hour_08_mbps,hour_09_mbps,hour_10_mbps,hour_11_mbps,hour_12_mbps,hour_13_mbps,hour_14_mbps,hour_15_mbps,hour_16_mbps,hour_17_mbps,hour_18_mbps,hour_19_mbps,hour_20_mbps,hour_21_mbps,hour_22_mbps,hour_23_mbps
6466,2037,MEDIUM,WA,54,64.5541,0.0,15.7799,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.1105,0.0176,5.1561,3.2882,17.0542,2.9951,5.6141,24.9041,14.613,14.3944,12.0292,10.858,7.9172,12.1307
6467,2027,HIGH,WA,1,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6467,2032,HIGH,WA,12,10.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7913,0.0,7.8586,0.0,0.0601,0.0616,0.0,0.0465,7.5062,5.1265,0.0,0.0
6467,2032,LOW,WA,1,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0
6467,2032,MEDIUM,WA,1,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6467,2037,HIGH,WA,26,52.5499,5.4,2.9563,0.9,0.9,0.9,0.9,0.9241,0.9,0.9,1.006,0.9385,0.9,0.9388,0.9,0.9,0.9412,1.8058,4.5581,11.6963,16.7679,4.9064,2.7882,15.3798,40.473
6467,2037,LOW,WA,11,18.2382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606,0.0,0.0341,0.0168,0.0,0.0,16.0979,15.4964,7.1094,2.6867,0.0
6467,2037,MEDIUM,WA,13,28.8635,7.1694,37.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399,0.1031,0.0,0.0,0.0,0.0,1.619,1.7041,0.0801,13.1252,4.8242,0.0,0.0
6468,2027,HIGH,WA,28,62.9074,0.0,0.0,0.0,0.0,0.0,0.0,0.2423,0.0278,0.0,6.8067,25.0048,11.7376,4.5422,4.5432,4.5236,4.5356,7.9322,13.665,34.069,11.678,3.6852,6.0568,4.0684,0.0306
6468,2027,MEDIUM,WA,1,1.5184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4553,0.0,0.0
6468,2032,HIGH,WA,158,313.2054,34.0974,6.3,2.1723,1.8583,1.8716,1.8199,4.5693,19.7795,2.2401,10.8312,15.1338,3.1622,16.8366,3.7469,12.2643,30.9221,76.5488,104.5924,65.7492,62.3115,55.2253,84.9609,57.9749,37.7478
6468,2032,LOW,WA,25,48.7822,0.9,0.9552,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2.9467,13.8246,0.9,0.9619,3.5973,6.7323,9.7033,20.7987,18.192,5.8426,9.6831,4.2528,1.8
6468,2032,MEDIUM,WA,35,100.3082,5.7059,6.0731,7.9113,18.0,7.5354,0.06,0.0,0.0,0.0,16.686,0.0334,0.0,23.032,14.1989,12.4029,0.0577,7.8823,25.3869,13.9634,10.5679,37.8544,18.1221,2.7834,0.0
6468,2037,HIGH,WA,331,627.3729,21.9982,18.7846,7.2565,9.637,7.721,6.3,6.3345,5.4416,7.0841,22.4749,7.9422,19.3516,77.8008,44.7101,7.0424,52.9455,86.0876,113.8938,178.2552,176.0891,205.9998,142.7357,109.247,49.9859
6468,2037,LOW,WA,141,370.2791,42.932,24.1286,15.3164,5.4357,5.4411,5.4,5.4351,12.7777,22.5184,2.2748,0.0907,0.263,13.6954,37.9074,29.8836,61.7938,67.6255,45.5077,145.7141,75.318,96.5034,41.7191,32.0628,52.8463
6468,2037,MEDIUM,WA,170,375.547,45.4252,16.2272,8.0931,7.3039,7.2,7.4204,6.3,6.3,9.1282,23.4,10.0453,24.2942,14.4031,15.8348,37.4711,29.7061,40.7801,66.3273,126.5675,71.5269,90.9827,91.6463,58.422,32.063
6472,2027,HIGH,WA,20,49.8279,0.4586,0.0,0.0,0.0,0.0373,0.0,0.0,0.0,0.0,0.0,0.0,0.0456,8.6332,28.4265,0.0341,1.2999,0.0,1.933,10.5143,38.0465,18.0376,2.2652,1.9158,1.7386
6472,2027,MEDIUM,WA,1,10.7477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8271,9.0,9.0,4.63,0.0,0.0,0.0,0.0
